03	07	9999999999999	18	8324	0.0	0.0	67223.64	8072.77	75296.39	0.0	
09		001	001	43659	43659	1110426320	
09		001	001	43667	43667	1110426320	
09		001	001	43766	43766	1110426320	
09		001	001	43857	43857	1110426320	
09		001	001	43895	43895	1110426320	
09		001	001	43897	43897	1110426320	
09		001	001	43916	43916	1110426320	
09		001	001	43917	43917	1110426320	
09		001	001	43995	43995	1110426320	
09		001	001	44365	44365	1110426320	
09		001	001	44366	44366	1110426320	
09		001	001	44455	44455	1110426320	
09		001	001	44476	44476	1110426320	
09		001	001	44521	44521	1110426320	
09		001	001	44533	44533	1110426320	
09		001	001	44661	44661	1110426320	
09		001	001	44748	44748	1110426320	
09		001	001	44748	44748	1110426320	
09		001	001	45244	45244	1110426320	
09		001	001	45267	45267	1110426320	
09		001	001	45267	45267	1110426320	
09		001	001	45267	45267	1110426320	
09		001	001	45522	45522	1110426320	
09		001	001	45560	45560	1110426320	
09		001	001	45028	45028	1110426320	
09		001	001	45068	45068	1110426320	
09		001	001	45191	45191	1110426320	
09		001	001	45231	45231	1110426320	
09		001	001	45354	45354	1110426320	
09		001	001	45394	45394	1110426320	
09		001	001	45517	45517	1110426320	
09		001	001	45557	45557	1110426320	
09		001	001	45680	45680	1110426320	
09		001	001	45720	45720	1110426320	
09		001	001	45843	45843	1110426320	
09		001	001	45883	45883	1110426320	
09		001	001	46053	46053	1110426320	
09		001	001	46093	46093	1110426320	
09		001	001	46216	46216	1110426320	
09		001	001	46256	46256	1110426320	
09		001	001	46561	46561	1110426320	
09		001	001	46563	46563	1110426320	
09		001	001	46565	46565	1110426320	
09		001	001	46567	46567	1110426320	
09		001	001	46587	46587	1110426320	
09		001	001	46587	46587	1110426320	
09		001	001	46958	46958	1110426320	
09		001	001	46960	46960	1110426320	
09		001	001	47130	47130	1110426320	
09		001	001	47220	47220	1110426320	
09		001	001	47244	47244	1110426320	
09		001	001	47292	47292	1110426320	
09		001	001	47409	47409	1110877583	
09		001	001	47500	47500	1110877583	
09		001	001	47500	47500	1110877583	
09		001	001	47500	47500	1110877583	
09		001	001	47667	47667	1110877583	
09		001	001	47671	47671	1110877583	
09		001	001	47672	47672	1110877583	
09		001	001	47678	47678	1110877583	
09		001	001	47680	47680	1110877583	
09		001	001	47697	47697	1110877583	
09		001	001	47698	47698	1110877583	
09		001	001	47769	47769	1110877583	
09		001	001	47796	47796	1110877583	
09		001	001	47923	47923	1110877583	
09		001	001	47933	47933	1110877583	
09		001	001	47987	47987	1110877583	
09		001	001	47988	47988	1110877583	
09		001	001	47989	47989	1110877583	
09		001	001	47990	47990	1110877583	
09		001	001	48101	48101	1110877583	
09		001	001	48102	48102	1110877583	
09		001	001	48103	48103	1110877583	
09		001	001	48104	48104	1110877583	
09		001	001	48108	48108	1110877583	
09		001	001	48109	48109	1110877583	
09		001	001	48110	48110	1110877583	
09		001	001	48111	48111	1110877583	
09		001	001	48120	48120	1110877583	
09		001	001	48121	48121	1110877583	
09		001	001	48315	48315	1110877583	
09		001	001	48339	48339	1110877583	
09		001	001	48340	48340	1110877583	
09		001	001	48380	48380	1110877583	
09		001	001	48407	48407	1110877583	
09		001	001	48483	48483	1110877583	
09		001	001	48525	48525	1110877583	
09		001	001	48537	48537	1110877583	
09		001	001	48538	48538	1110877583	
09		001	001	48567	48567	1110877583	
09		001	001	48634	48634	1110877583	
09		001	001	48745	48745	1110877583	
09		001	001	48909	48909	1110877583	
09		001	001	48930	48930	1110877583	
09		001	001	48930	48930	1110877583	
09		001	001	49115	49115	1110877583	
09		001	001	49049	49049	1110877583	
09		001	001	49066	49066	1110877583	
09		001	001	49066	49066	1110877583	
09		001	001	49570	49570	1110877583	
09		001	001	49626	49626	1110877583	
09		001	001	49634	49634	1110877583	
09		001	001	49659	49659	1110877583	
09		001	001	49840	49840	1110877583	
09		001	001	49846	49846	1110877583	
09		001	001	49919	49919	1110877583	
09		001	001	50008	50008	1110877583	
09		001	001	50259	50259	1110877583	
09		001	001	50261	50261	1110877583	
09		001	001	50262	50262	1110877583	
09		001	001	50263	50263	1110877583	
09		001	001	50264	50264	1110877583	
09		001	001	50265	50265	1110877583	
09		001	001	50266	50266	1110877583	
09		001	001	50267	50267	1110877583	
09		001	001	50268	50268	1110877583	
09		001	001	50269	50269	1110877583	
09		001	001	50270	50270	1110877583	
09		001	001	50271	50271	1110877583	
09		001	001	50272	50272	1110877583	
09		001	001	50273	50273	1110877583	
09		001	001	50274	50274	1110877583	
09		001	001	50275	50275	1110877583	
09		001	001	50276	50276	1110877583	
09		001	001	50277	50277	1110877583	
09		001	001	50278	50278	1110877583	
09		001	001	50279	50279	1110877583	
09		001	001	50285	50285	1110877583	
09		001	001	50286	50286	1110877583	
09		001	001	50287	50287	1110877583	
09		001	001	50288	50288	1110877583	
09		001	001	50289	50289	1110877583	
09		001	001	50290	50290	1110877583	
09		001	001	50291	50291	1110877583	
09		001	001	50292	50292	1110877583	
09		001	001	50293	50293	1110877583	
09		001	001	50294	50294	1110877583	
09		001	001	50295	50295	1110877583	
09		001	001	50296	50296	1110877583	
09		001	001	50297	50297	1110877583	
09		001	001	50298	50298	1110877583	
09		001	001	50299	50299	1110877583	
09		001	001	50300	50300	1110877583	
09		001	001	50423	50423	1111139150	
09		001	001	50531	50531	1111139150	
09		001	001	50553	50553	1111139150	
09		001	001	50553	50553	1111139150	
09		001	001	50553	50553	1111139150	
09		001	001	50731	50731	1111139150	
09		001	001	50937	50937	1111139150	
09		001	001	50956	50956	1111139150	
09		001	001	51106	51106	1111139150	
